site_name,latitude,longitude,site_type,population,state,source_sheet
face to face,9.31599,12.44461,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.31334,12.46029,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.30584,12.47189,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.30613,12.4846,IDPs,IDPs in camp,Adamawa,Data
face to face,9.31974,12.44136,IDPs,IDPs in camp,Adamawa,Data
face to face,9.48596,12.30687,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.45632,12.35625,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.48598,12.30689,Returnees,Returnees,Adamawa,Data
face to face,9.33938,12.50727,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.33893,12.5085,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.34431,12.51341,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.34264,12.51707,IDPs,IDPs in camp,Adamawa,Data
face to face,9.35204,12.51312,IDPs,IDPs in camp,Adamawa,Data
face to face,9.35209,12.51223,IDPs,IDPs in camp,Adamawa,Data
face to face,9.37582,12.55931,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.37211,12.55222,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.36791,12.55256,IDPs,IDPs in camp,Adamawa,Data
face to face,9.505,12.491,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.50503,12.49995,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.53353,12.49816,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.53271,12.50146,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.30444,12.48875,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.29134,12.48012,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.29147,12.49431,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.30552,12.48633,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.29912,12.48469,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.3098766,12.4870902,IDPs,IDPs in camp,Adamawa,Data
face to face,9.50011,12.56769,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.48339,12.58191,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.49888,12.576,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.30329,12.47378,IDPs,IDPs in camp,Adamawa,Data
face to face,10.101537,12.34784,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.12613,12.33882,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.13113,12.39603,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.15331,12.40217,Returnees,Returnees,Adamawa,Data
face to face,10.16977,12.73464,Returnees,Returnees,Adamawa,Data
face to face,10.12192,12.33897,Returnees,Returnees,Adamawa,Data
face to face,10.12193,12.33896,Returnees,Returnees,Adamawa,Data
face to face,10.13192,12.43897,Returnees,Returnees,Adamawa,Data
face to face,10.25422,12.52978,Returnees,Returnees,Adamawa,Data
face to face,10.2544,12.52977,Returnees,Returnees,Adamawa,Data
face to face,10.09707,12.33428,Returnees,Returnees,Adamawa,Data
face to face,10.0977,12.33432,Returnees,Returnees,Adamawa,Data
face to face,10.06047,12.29185,Returnees,Returnees,Adamawa,Data
face to face,10.14806,12.43441,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.16244,12.43303,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.18417,12.43641,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.14909,12.43047,Returnees,Returnees,Adamawa,Data
face to face,10.14919,12.43049,Returnees,Returnees,Adamawa,Data
face to face,10.16024,12.4337,Returnees,Returnees,Adamawa,Data
face to face,10.14795,12.43409,Returnees,Returnees,Adamawa,Data
face to face,10.14791,12.43447,Returnees,Returnees,Adamawa,Data
face to face,10.18238,12.37378,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.18342,12.36991,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.19051,12.36714,Returnees,Returnees,Adamawa,Data
face to face,10.242,12.3438,Returnees,Returnees,Adamawa,Data
face to face,10.18212,12.37362,Returnees,Returnees,Adamawa,Data
face to face,10.21623,12.34535,Returnees,Returnees,Adamawa,Data
face to face,10.40689,12.5662,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.40403,12.56749,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.40501,12.56518,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.40317,12.56537,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.4066,12.56709,Returnees,Returnees,Adamawa,Data
face to face,10.4051,12.56904,Returnees,Returnees,Adamawa,Data
face to face,10.40434,12.56907,Returnees,Returnees,Adamawa,Data
face to face,10.4015238,12.5504597,Returnees,Returnees,Adamawa,Data
face to face,10.40858,12.56519,Returnees,Returnees,Adamawa,Data
face to face,10.18372,12.73407,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.18095,12.23264,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.17235,12.72687,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.17949,12.72231,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.17688,12.72371,Returnees,Returnees,Adamawa,Data
face to face,10.17584,12.73539,Returnees,Returnees,Adamawa,Data
face to face,10.18032,12.73335,Returnees,Returnees,Adamawa,Data
face to face,10.17347,12.73519,Returnees,Returnees,Adamawa,Data
face to face,10.17345,12.735519,Returnees,Returnees,Adamawa,Data
face to face,10.14542,12.74552,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.160138,12.75218,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.14236,12.73524,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.15432,12.74168,Returnees,Returnees,Adamawa,Data
face to face,10.15435,12.7357,Returnees,Returnees,Adamawa,Data
face to face,10.15843,12.75042,Returnees,Returnees,Adamawa,Data
face to face,10.15943,12.74672,Returnees,Returnees,Adamawa,Data
face to face,10.14472,12.74648,Returnees,Returnees,Adamawa,Data
face to face,10.33281,12.6594,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.37321,12.57332,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.32393,12.67432,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.33799,12.65982,Returnees,Returnees,Adamawa,Data
face to face,10.37416,12.57401,Returnees,Returnees,Adamawa,Data
face to face,10.37389,12.57421,Returnees,Returnees,Adamawa,Data
face to face,10.33521,12.65858,Returnees,Returnees,Adamawa,Data
face to face,10.3207,12.67878,Returnees,Returnees,Adamawa,Data
face to face,10.04559,12.668,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.07188,12.67514,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.04928,12.66888,Returnees,Returnees,Adamawa,Data
face to face,10.0456,12.669,Returnees,Returnees,Adamawa,Data
face to face,10.07143,12.67503,Returnees,Returnees,Adamawa,Data
face to face,10.07203,12.67484,Returnees,Returnees,Adamawa,Data
face to face,10.05703,12.25984,Returnees,Returnees,Adamawa,Data
face to face,10.0647,12.29184,Returnees,Returnees,Adamawa,Data
face to face,10.05449,12.19084,Returnees,Returnees,Adamawa,Data
face to face,10.05528,12.26035,Returnees,Returnees,Adamawa,Data
face to face,10.05526,12.28853,Returnees,Returnees,Adamawa,Data
face to face,9.792,11.9622,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.78393,11.98305,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.79211,11.9625,Returnees,Returnees,Adamawa,Data
face to face,9.78397,11.983,Returnees,Returnees,Adamawa,Data
face to face,9.79112,11.96237,Returnees,Returnees,Adamawa,Data
face to face,9.98903,11.95734,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.98907,11.95737,Returnees,Returnees,Adamawa,Data
face to face,9.6469,11.8339,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.78477,11.91055,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.79304,11.92395,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.78479,11.91057,Returnees,Returnees,Adamawa,Data
face to face,9.75559,11.91542,Returnees,Returnees,Adamawa,Data
face to face,9.79306,11.92393,Returnees,Returnees,Adamawa,Data
face to face,9.65221,11.83702,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.648116,11.8393,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.70578,11.88148,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.64165,11.83608,Returnees,Returnees,Adamawa,Data
face to face,9.64479,11.83735,Returnees,Returnees,Adamawa,Data
face to face,9.68676,11.89964,Returnees,Returnees,Adamawa,Data
face to face,9.6677,11.83033,Returnees,Returnees,Adamawa,Data
face to face,9.90418,11.93248,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.91032,11.93274,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.9052,11.94063,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.90258,11.93104,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.91543,11.93949,IDPs,Integrated,Adamawa,Data
face to face,9.90391,11.92647,IDPs,Integrated,Adamawa,Data
face to face,9.91635,11.9566,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.91658,11.9468,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.91637,11.9565,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.24967,13.02682,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.20363,12.98729,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.26665,13.09585,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.22799,12.99708,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.28557,13.0748,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.19794,12.99007,Returnees,Returnees,Adamawa,Data
face to face,10.22797,12.99709,Returnees,Returnees,Adamawa,Data
face to face,10.24969,13.02684,Returnees,Returnees,Adamawa,Data
face to face,10.26669,13.09588,Returnees,Returnees,Adamawa,Data
face to face,10.28555,13.0746,Returnees,Returnees,Adamawa,Data
face to face,10.13829,12.98352,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.15253,13.00569,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.17825,12.88863,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.1525,13.00568,Returnees,Returnees,Adamawa,Data
face to face,10.14822,12.90379,Returnees,Returnees,Adamawa,Data
face to face,10.174,12.88465,Returnees,Returnees,Adamawa,Data
face to face,10.1383,12.98355,Returnees,Returnees,Adamawa,Data
face to face,10.38384,12.82003,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.36759,12.86165,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.32272,12.85578,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.38381,12.82001,Returnees,Returnees,Adamawa,Data
face to face,10.4098,12.84763,Returnees,Returnees,Adamawa,Data
face to face,10.367591,12.861765,Returnees,Returnees,Adamawa,Data
remotely  phone call,10.43253,13.00339,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
remotely  phone call,10.4133,12.97506,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
remotely  phone call,10.46841,12.98578,Returnees,Returnees,Adamawa,Data
remotely  phone call,10.4136,12.97505,Returnees,Returnees,Adamawa,Data
remotely  phone call,10.41971,12.98467,Returnees,Returnees,Adamawa,Data
face to face,10.39416,13.17807,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.39417,13.17809,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.3894,13.21065,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.4005,13.17201,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.3896,13.21067,Returnees,Returnees,Adamawa,Data
face to face,10.40486,13.16489,Returnees,Returnees,Adamawa,Data
face to face,10.39414,13.17805,Returnees,Returnees,Adamawa,Data
remotely  phone call,10.22663,12.912,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
remotely  phone call,10.2419,12.93193,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.2329,12.92972,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.23327,12.9206,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.2328,12.92977,Returnees,Returnees,Adamawa,Data
remotely  phone call,10.22661,12.914,Returnees,Returnees,Adamawa,Data
