name,latitude,longitude,type
Omo group of schools,6.326890,5.628951,school
Eware Primary School,6.344436,5.608800,school
Legend School,6.343104,5.609962,school
Royal Kiddies Academy,6.345021,5.607820,school
Unibound International Group of School,6.343980,5.607209,school
Ighile Group of Schools,6.328880,5.590838,school
Southern Academy School,6.330872,5.593970,school
Okai Primary School,6.335965,5.616696,school
God's Path Schools,6.344241,5.602152,school
Man Prof High School,6.345285,5.600969,school
Rokibet Nursery and Primary School,6.343299,5.604342,school
Ann Marie Memorial School,6.322651,5.597777,school
Christ The Shepherd International School,6.323771,5.599227,school
Chinel University Academy,6.338301,5.598684,school
Colombia Academy,6.337641,5.595920,school
Victory Group of School,6.338887,5.595709,school
Precious Group of School,6.342411,5.609282,school
Precious Group of School,6.342783,5.609976,school
Modellink Group Of School,6.348962,5.608675,school
Oliha Primary School,6.349504,5.605773,school
St Paul's Primary School,6.328949,5.615323,school
Faith In God Nursery and Primary School,6.344632,5.631513,school
Peak Foundation school,6.339590,5.626329,school
Dynanic Schools,6.351724,5.618611,school
Ihogbe College,6.350532,5.617260,school
Solid Foundation School,6.337373,5.619006,school
Emokpac Primary School,6.339567,5.624717,school
Fabiye Apatha Primary School,6.345961,5.624048,school
Gius Obaseki Group of Schools,6.346344,5.628963,school
St. Peters Anglican Daycare Nursry/Primary School,6.344147,5.622531,school
United Baptist Grammar School,6.340169,5.624172,school
Word of God Group of Schools,6.341614,5.624274,school
Ivbiore Primary School,6.343435,5.613491,school
Ore-Oghene Primary School,6.345620,5.613908,school
All Saints Ekulu Nursery & Primary School,6.454070,7.484622,school
Cocci International Secondary School,6.483071,7.514490,school
Fountain Comprehensive College,6.476999,7.506913,school
"Goddip Nursery, Primary & Secondary School",6.479255,7.511708,school
Good Hope Stars Schools,6.465915,7.495831,school
Holy Child Nursery & Primary,6.481227,7.509140,school
Housing Estate Primary School,6.481174,7.517894,school
Magnet Nursery & Primary School,6.461381,7.499558,school
Prima Schools,6.469830,7.504187,school
River Side Nursery & Primary School,6.480415,7.520734,school
St Leo The Great Nursery & Primary School,6.480021,7.507836,school
Sunshine Crèche,6.447395,7.488415,school
Trans Ekulu Girls Secondary School,6.476649,7.501828,school
Trans Ekulu Primary School,6.476250,7.495381,school
Winsophia Child Friendly,6.482994,7.522450,school
Greater Tomorrow International School (Nur & Pri),6.413441,7.496133,school
May Blossom High School,6.413662,7.502434,school
Anndy Model School,6.413759,7.493559,school
Madonna Daycare Center,6.417746,7.491049,school
"Happy Time Crèche, Nursery & Primary School",6.419481,7.492346,school
Baptist High School,6.421559,7.492255,school
Sacred Heart Primary & Secondary School,6.421991,7.489037,school
Government Secondary School For The Deaf,6.424389,7.476417,school
International Institute For Entrepreneurship & Development,6.424658,7.489773,school
Ogbete River Primary School,6.431292,7.479129,school
City Primary School,6.431651,7.477204,school
