name,latitude,longitude,type
"Kawo Primary","11.9818566","8.5718136","school"
"","6.5967299","3.3401408","school"
"","10.2605818","11.1711599","school"
"Autie Rose Foundation Group of Schools","6.3418138","5.6025076","school"
"Ezomo Primary School","6.3423646","5.6005261","school"
"Word of Faith Group of Schools","6.3412007","5.6024427","school"
"Faithland group of school","6.3289905","5.5936219","school"
"Franej group of school","6.3258856","5.5917519","school"
"Young scholars academy school","6.3256295","5.5937372","school"
"Pame Group of Schools","6.3405360","5.6113260","school"
"Unival Computer School","6.3435410","5.6115690","school"
"Uyiosa Nursery/Primary School","6.3397817","5.6113201","school"
"Diamond care nursery and primary school","6.3259676","5.5994960","school"
"Southern Academy","6.3307780","5.5983516","school"
"Young ScholarAcademy Secondry School","6.3295748","5.5987308","school"
"Dadu primary school","6.3343180","5.5960541","school"
"Amazing grace nur/pry","6.3336947","5.6085826","school"
"Malachi Memorial school","6.3307031","5.6073849","school"
"Newsky international secondary school","6.3475966","5.5973249","school"
"Legacy Nursery & Primary School","6.3239316","5.6012279","school"
"Pencil Nursery/ Primary","6.3344108","5.6045582","school"
"Omo group of schools","6.3268901","5.6289511","school"
"Eware Primary School","6.3444360","5.6088002","school"
"Legend School","6.3431044","5.6099618","school"
"Royal Kiddies Academy","6.3450213","5.6078196","school"
"Unibound International Group of School","6.3439796","5.6072091","school"
"Ighile Group of Schools","6.3288804","5.5908375","school"
"Southern Academy School","6.3308723","5.5939697","school"
"Okai Primary School","6.3359647","5.6166958","school"
"God's Path Schools","6.3442410","5.6021520","school"
"Man Prof High School","6.3452854","5.6009691","school"
"Rokibet Nursery and Primary School","6.3432987","5.6043417","school"
"Ann Marie Memorial School","6.3226508","5.5977774","school"
"Christ The Shepherd International School","6.3237710","5.5992270","school"
"Chinel University Academy","6.3383011","5.5986838","school"
"Colombia Academy","6.3376410","5.5959199","school"
"Victory Group of School","6.3388867","5.5957090","school"
"Precious Group of School","6.3424115","5.6092820","school"
"Precious Group of School","6.3427827","5.6099759","school"
"Modellink Group Of School","6.3489624","5.6086752","school"
"Oliha Primary School","6.3495042","5.6057735","school"
"St Paul's Primary School","6.3289487","5.6153228","school"
"Faith In God Nursery and Primary School","6.3446317","5.6315132","school"
