state,lga,year,count,deaths
Plateau state,Riyom lga,2024,2,16
Plateau state,Shendam lga,2002,1,6
Plateau state,Shendam lga,2004,10,827
Plateau state,Shendam lga,2011,1,0
Plateau state,Wase lga,2002,2,25
Plateau state,Wase lga,2004,5,54
Plateau state,Wase lga,2013,7,73
Plateau state,Wase lga,2014,1,0
Plateau state,Wase lga,2015,3,28
Rivers state,,1992,1,60
Rivers state,,1993,4,1140
Rivers state,,1994,2,25
Rivers state,,1997,1,1
Rivers state,,1998,1,1
Rivers state,,1999,2,25
Rivers state,,2002,1,7
Rivers state,,2004,8,67
Rivers state,,2007,6,108
Rivers state,,2008,1,1
Rivers state,,2009,4,13
Rivers state,,2011,1,6
Rivers state,,2012,8,49
Rivers state,,2015,3,14
Rivers state,,2017,1,3
Rivers state,,2018,1,1
Rivers state,,2020,3,3
Rivers state,,2021,2,8
Rivers state,,2023,3,3
Rivers state,,2024,1,7
Rivers state,Abua/Odual lga,2013,1,6
Rivers state,Abua/Odual lga,2014,2,4
Rivers state,Abua/Odual lga,2021,1,4
Rivers state,Ahoada East lga,2022,1,5
Rivers state,Ahoada East lga,2023,1,3
Rivers state,Ahoada West lga,2019,1,1
Rivers state,Ahoada West lga,2023,1,6
Rivers state,Akuku-Toru lga,2004,1,2
Rivers state,Akuku-Toru lga,2019,1,1
Rivers state,Andoni lga,2013,1,8
Rivers state,Andoni lga,2020,1,3
Rivers state,Asari-Toru lga,2004,1,4
Rivers state,Asari-Toru lga,2009,1,0
Rivers state,Asari-Toru lga,2016,2,2
Rivers state,Degema lga,2003,1,4
Rivers state,Degema lga,2004,2,5
Rivers state,Degema lga,2006,1,10
Rivers state,Degema lga,2015,1,1
Rivers state,Eleme lga,2015,1,2
Rivers state,Emohua lga,2004,3,48
Rivers state,Emohua lga,2005,3,63
Rivers state,Emohua lga,2006,2,11
Rivers state,Emohua lga,2007,1,4
Rivers state,Emohua lga,2008,1,12
Rivers state,Emohua lga,2013,1,2
Rivers state,Emohua lga,2014,1,10
Rivers state,Emohua lga,2016,3,16
Rivers state,Emohua lga,2017,5,22
Rivers state,Emohua lga,2019,3,9
Rivers state,Emohua lga,2023,1,2
Rivers state,Etche lga,1990,1,80
Rivers state,Etche lga,2003,1,1
Rivers state,Etche lga,2014,2,7
Rivers state,Etche lga,2015,1,3
Rivers state,Etche lga,2016,1,4
Rivers state,Etche lga,2019,4,4
Rivers state,Gokana lga,1993,1,1
Rivers state,Gokana lga,1994,3,8
Rivers state,Gokana lga,2005,3,11
Rivers state,Gokana lga,2006,4,23
Rivers state,Gokana lga,2007,1,2
Rivers state,Gokana lga,2010,1,1
Rivers state,Ikwerre lga,2003,1,1
Rivers state,Ikwerre lga,2013,1,3
Rivers state,Ikwerre lga,2016,5,17
Rivers state,Ikwerre lga,2017,1,2
Rivers state,Ikwerre lga,2022,1,1
Rivers state,Khana lga,1993,1,35
Rivers state,Khana lga,1994,5,17
Rivers state,Khana lga,1996,1,3
Rivers state,Khana lga,1998,1,1
Rivers state,Khana lga,2007,3,6
Rivers state,Khana lga,2008,1,1
Rivers state,Khana lga,2011,3,2
Rivers state,Khana lga,2019,2,27
Rivers state,Khana lga,2020,2,5
Rivers state,Obio-Akpor lga,2009,1,1
Rivers state,Obio-Akpor lga,2019,3,7
Rivers state,Ogba-Egbema-Ndoni lga,2015,2,21
Rivers state,Ogba-Egbema-Ndoni lga,2016,5,25
Rivers state,Ogba-Egbema-Ndoni lga,2018,1,1
Rivers state,Ogu/Bolo lga,2001,1,1
Rivers state,Ogu/Bolo lga,2002,1,1
Rivers state,Okrika lga,2000,1,1
Rivers state,Oyigbo lga,1994,1,30
Rivers state,Oyigbo lga,2020,1,2
Rivers state,Port Harcourt lga,2010,1,1
Rivers state,Tai lga,2007,1,1
Rivers state,Tai lga,2014,1,3
Rivers state,Tai lga,2015,3,10
Rivers state,Tai lga,2017,1,12
Sokoto state,,2011,1,7
Sokoto state,,2021,1,1
Sokoto state,Goronyo lga,2021,1,0
Sokoto state,Gwadabawa lga,2021,1,11
Sokoto state,Kebbe lga,2003,1,1
Sokoto state,Sabon Birni lga,2021,3,25
Sokoto state,Tambuwal lga,2011,1,0
Sokoto state,Tureta lga,2003,1,1
Sokoto state,Wamakko lga,2011,1,1
Sokoto state,Wamakko lga,2012,2,11
Sokoto state,Wamakko lga,2013,2,4
Sokoto state,Wamakko lga,2019,1,0
Taraba state,,1992,1,100
Taraba state,,2001,2,21
Taraba state,,2014,1,0
Taraba state,,2015,1,5
Taraba state,,2019,2,6
Taraba state,,2023,1,1
Taraba state,Ardo-Kola lga,2015,1,8
Taraba state,Ardo-Kola lga,2018,1,6
Taraba state,Ardo-Kola lga,2019,2,1
Taraba state,Ardo-Kola lga,2022,1,3
Taraba state,Ardo-Kola lga,2023,1,11
Taraba state,Bali lga,2004,1,16
Taraba state,Bali lga,2014,7,45
Taraba state,Bali lga,2017,3,11
Taraba state,Bali lga,2018,1,4
Taraba state,Bali lga,2020,4,20
Taraba state,Bali lga,2021,8,35
Taraba state,Bali lga,2024,1,6
Taraba state,Donga lga,2001,3,50
Taraba state,Donga lga,2014,2,17
Taraba state,Donga lga,2015,1,5
Taraba state,Donga lga,2018,2,2
Taraba state,Donga lga,2019,7,25
Taraba state,Donga lga,2020,8,9
Taraba state,Donga lga,2022,1,26
Taraba state,Donga lga,2024,1,7
Taraba state,Gassol lga,2014,1,0
Taraba state,Gassol lga,2016,6,43
Taraba state,Gassol lga,2018,2,10
Taraba state,Gassol lga,2019,2,5
Taraba state,Gassol lga,2020,2,5
Taraba state,Gassol lga,2021,3,23
Taraba state,Ibi lga,2001,4,100
Taraba state,Ibi lga,2004,4,41
Taraba state,Ibi lga,2012,1,3
Taraba state,Ibi lga,2015,2,10
Taraba state,Ibi lga,2018,4,10
Taraba state,Ibi lga,2020,1,2
Taraba state,Jalingo lga,1992,1,200
Taraba state,Jalingo lga,2012,1,0
Taraba state,Jalingo lga,2019,4,17
Taraba state,Karim Lamido lga,1996,1,80
Taraba state,Karim Lamidu lga,1999,2,100
Taraba state,Karim Lamidu lga,2012,5,13
Taraba state,Karim Lamidu lga,2013,2,4
Taraba state,Karim Lamidu lga,2023,2,70
Taraba state,Lau lga,2018,14,106
Taraba state,Lau lga,2020,1,25
Taraba state,Sardauna lga,2002,1,50
Taraba state,Sardauna lga,2015,1,1
Taraba state,Sardauna lga,2017,4,141
Taraba state,Sardauna lga,2018,5,16
Taraba state,Takum lga,2011,1,4
Taraba state,Takum lga,2012,8,18
Taraba state,Takum lga,2013,1,6
Taraba state,Takum lga,2015,2,59
Taraba state,Takum lga,2019,6,57
Taraba state,Takum lga,2021,2,10
Taraba state,Takum lga,2023,3,16
Taraba state,Ussa lga,2018,1,9
Taraba state,Ussa lga,2023,3,24
Taraba state,Wukari lga,1991,1,30
Taraba state,Wukari lga,1992,1,0
Taraba state,Wukari lga,1993,1,7
Taraba state,Wukari lga,2001,1,17
Taraba state,Wukari lga,2010,1,0
Taraba state,Wukari lga,2012,1,5
Taraba state,Wukari lga,2013,2,70
Taraba state,Wukari lga,2014,9,194
Taraba state,Wukari lga,2015,4,34
Taraba state,Wukari lga,2016,2,9
Taraba state,Wukari lga,2018,4,37
Taraba state,Wukari lga,2019,14,48
Taraba state,Wukari lga,2020,2,6
Taraba state,Wukari lga,2021,1,0
Taraba state,Wukari lga,2023,1,2
Taraba state,Wukari lga,2024,1,2
Yobe state,,2009,2,12
Yobe state,,2010,1,0
Yobe state,,2011,1,8
Yobe state,,2012,3,2
Yobe state,,2013,1,3
Yobe state,,2014,1,2
Yobe state,,2016,1,2
Yobe state,,2020,1,1
Yobe state,,2021,3,54
Yobe state,,2023,1,1
Yobe state,,2024,1,0
Yobe state,Bade lga,2012,2,5
Yobe state,Bade lga,2013,1,25
Yobe state,Bade lga,2020,2,4
Yobe state,Bade lga,2022,2,2
Yobe state,Bursari lga,2020,2,14
Yobe state,Bursari lga,2021,1,13
Yobe state,Bursari lga,2024,1,3
Yobe state,Damaturu lga,2004,1,1
Yobe state,Damaturu lga,2010,1,0
Yobe state,Damaturu lga,2011,6,133
Yobe state,Damaturu lga,2012,25,200
Yobe state,Damaturu lga,2013,3,56
Yobe state,Damaturu lga,2014,2,171
Yobe state,Damaturu lga,2015,10,99
Yobe state,Damaturu lga,2017,1,15
Yobe state,Damaturu lga,2018,2,39
Yobe state,Damaturu lga,2019,3,34
Yobe state,Damaturu lga,2021,1,3
Yobe state,Damaturu lga,2024,5,12
Yobe state,Fika lga,2012,1,0
Yobe state,Fika lga,2013,1,6
Yobe state,Fika lga,2014,1,6
Yobe state,Fika lga,2015,3,17
Yobe state,Fune lga,2012,1,4
Yobe state,Fune lga,2013,1,22
Yobe state,Fune lga,2014,3,8
Yobe state,Fune lga,2024,1,1
Yobe state,Geidam lga,2011,1,6
Yobe state,Geidam lga,2012,1,1
Yobe state,Geidam lga,2013,1,4
Yobe state,Geidam lga,2014,1,5
Yobe state,Geidam lga,2015,2,11
Yobe state,Geidam lga,2016,1,4
Yobe state,Geidam lga,2017,1,2
Yobe state,Geidam lga,2019,1,10
Yobe state,Geidam lga,2020,4,4
Yobe state,Geidam lga,2021,7,33
Yobe state,Geidam lga,2022,3,14
Yobe state,Geidam lga,2023,7,142
Yobe state,Geidam lga,2024,7,36
Yobe state,Gujba lga,2012,2,1
Yobe state,Gujba lga,2013,4,116
Yobe state,Gujba lga,2014,6,133
Yobe state,Gujba lga,2015,9,199
Yobe state,Gujba lga,2016,2,4
Yobe state,Gujba lga,2017,5,41
Yobe state,Gujba lga,2018,4,25
Yobe state,Gujba lga,2019,7,48
Yobe state,Gujba lga,2020,6,120
Yobe state,Gujba lga,2021,10,45
Yobe state,Gujba lga,2022,6,15
Yobe state,Gujba lga,2023,9,22
Yobe state,Gujba lga,2024,14,72
Yobe state,Gulani lga,2010,1,1
Yobe state,Gulani lga,2013,1,1
Yobe state,Gulani lga,2014,1,17
Yobe state,Gulani lga,2015,1,3
Yobe state,Gulani lga,2016,2,20
Yobe state,Karasuwa lga,2015,1,10
Yobe state,Karasuwa lga,2023,1,1
Yobe state,Nangere lga,2013,1,0
Yobe state,Potiskum lga,2009,2,44
Yobe state,Potiskum lga,2011,1,7
Yobe state,Potiskum lga,2012,16,63
Yobe state,Potiskum lga,2013,6,48
Yobe state,Potiskum lga,2014,5,109
Yobe state,Potiskum lga,2015,12,61
Yobe state,Tarmuwa lga,2013,1,9
Yobe state,Tarmuwa lga,2015,2,82
Yobe state,Tarmuwa lga,2016,3,32
Yobe state,Tarmuwa lga,2017,1,2
Yobe state,Tarmuwa lga,2018,1,48
Yobe state,Tarmuwa lga,2019,2,2
Yobe state,Tarmuwa lga,2020,1,7
Yobe state,Tarmuwa lga,2021,2,2
Yobe state,Tarmuwa lga,2023,1,4
Yobe state,Tarmuwa lga,2024,2,103
Yobe state,Yunusari lga,2003,1,1
Yobe state,Yunusari lga,2004,1,20
Yobe state,Yunusari lga,2015,3,20
Yobe state,Yunusari lga,2016,1,7
Yobe state,Yunusari lga,2017,1,8
Yobe state,Yunusari lga,2019,2,3
Yobe state,Yunusari lga,2020,1,4
Yobe state,Yunusari lga,2021,5,1
Yobe state,Yunusari lga,2024,1,0
Zamfara state,,2011,1,7
Zamfara state,,2019,1,7
Zamfara state,Bungudu lga,2022,1,7
Zamfara state,Gusau lga,2001,1,2
Zamfara state,Gusau lga,2010,1,3
Zamfara state,Gusau lga,2021,1,3
Zamfara state,Gusau lga,2022,1,1
Zamfara state,Kaura-Namoda lga,2022,1,4
Zamfara state,Maradun lga,2021,1,2
Zamfara state,Maru lga,2018,3,35
Zamfara state,Maru lga,2021,1,16
Zamfara state,Tsafe lga,2020,1,2
Zamfara state,Tsafe lga,2024,1,40
Zamfara state,Zurmi lga,2024,2,80
